Country,Population,Area,Density
Monaco,39242.0,1.0,39242.0
Gabon,2225734.0,257.0,8660.4
Singapore,5850342.0,700.0,8357.6
Kazakhstan,18776707.0,2699.0,6956.9
Mauritania,4649658.0,1030.0,4514.2
Guyana,786552.0,196.0,4013.0
Libya,6871292.0,1759.0,3906.4
Suriname,586632.0,156.0,3760.5
Iceland,341243.0,100.0,3412.4
Namibia,2540905.0,823.0,3087.4
Bahrain,1701575.0,760.0,2238.9
Mongolia,3278290.0,1553.0,2110.9
Maldives,540544.0,300.0,1801.8
Malta,441543.0,320.0,1379.8
Bangladesh,164689383.0,130170.0,1265.2
Palestine State,5101414.0,6020.0,847.4
Micronesia,548914.0,700.0,784.2
Barbados,287375.0,430.0,668.3
Lebanon,6825445.0,10230.0,667.2
Mauritius,1271768.0,2030.0,626.5
San Marino,33931.0,60.0,565.5
Nauru,10824.0,20.0,541.2
South Korea,51269185.0,97230.0,527.3
Rwanda,12952218.0,24670.0,525.0
Netherlands,17134872.0,33720.0,508.2
Comoros,869601.0,1861.0,467.3
India,1380004385.0,2973190.0,464.1
Burundi,11890784.0,25680.0,463.0
Haiti,11402528.0,27560.0,413.7
Israel,8655535.0,21640.0,400.0
Tuvalu,11792.0,30.0,393.1
Belgium,11589623.0,30280.0,382.7
Philippines,109581078.0,298170.0,367.5
Japan,126476461.0,364555.0,346.9
Sri Lanka,21413249.0,62710.0,341.5
Grenada,112523.0,340.0,330.9
Marshall Islands,59190.0,180.0,328.8
Vietnam,97338579.0,310070.0,313.9
El Salvador,6486205.0,20720.0,313.0
Saint Lucia,183627.0,610.0,301.0
Pakistan,220892340.0,770880.0,286.5
Saint Vincent and the Grenadines,110940.0,390.0,284.5
United Kingdom,67886011.0,241930.0,280.6
Jamaica,2961167.0,10830.0,273.4
Trinidad and Tobago,1399488.0,5130.0,272.8
Qatar,2881053.0,11610.0,248.2
Luxembourg,625978.0,2590.0,241.7
Germany,83783942.0,348560.0,240.4
Kuwait,4270571.0,17820.0,239.7
Gambia,2416668.0,10120.0,238.8
Liechtenstein,38128.0,160.0,238.3
Uganda,45741007.0,199810.0,228.9
Sao Tome and Principe,219159.0,960.0,228.3
Nigeria,206139589.0,910770.0,226.3
Dominican Republic,10847910.0,48320.0,224.5
Antigua and Barbuda,97929.0,440.0,222.6
Switzerland,8654622.0,39516.0,219.0
North Korea,25778816.0,120410.0,214.1
Seychelles,98347.0,460.0,213.8
Italy,60461826.0,294140.0,205.6
Saint Kitts and Nevis,53199.0,260.0,204.6
Nepal,29136808.0,143350.0,203.3
Malawi,19129952.0,94280.0,202.9
Guatemala,17915568.0,107160.0,167.2
Andorra,77265.0,470.0,164.4
China,1439323776.0,9388211.0,153.3
Togo,8278724.0,54390.0,152.2
Indonesia,273523615.0,1811570.0,151.0
Kiribati,119449.0,810.0,147.5
Tonga,105695.0,720.0,146.8
Czechia (Czech Republic),10708981.0,77240.0,138.6
Thailand,69799978.0,510890.0,136.6
Ghana,31072940.0,227540.0,136.6
Denmark,5792202.0,42430.0,136.5
Cyprus,1207359.0,9240.0,130.7
Poland,37846611.0,306230.0,123.6
Moldova,4033963.0,32850.0,122.8
Azerbaijan,10139177.0,82658.0,122.7
France,65273511.0,547557.0,119.2
United Arab Emirates,9890402.0,83600.0,118.3
Ethiopia,114963588.0,1000000.0,115.0
Jordan,10203134.0,88780.0,114.9
Slovakia,5459642.0,48088.0,113.5
Portugal,10196709.0,91590.0,111.3
Sierra Leone,7976983.0,72180.0,110.5
Turkey,84339067.0,769630.0,109.6
Austria,9006398.0,82409.0,109.3
Benin,12123200.0,112760.0,107.5
Hungary,9660351.0,90530.0,106.7
Cuba,11326616.0,106440.0,106.4
Albania,2877797.0,27400.0,105.0
Armenia,2963243.0,28470.0,104.1
Slovenia,2078938.0,20140.0,103.2
Egypt,102334404.0,995450.0,102.8
Serbia,8737371.0,87460.0,99.9
Costa Rica,5094118.0,51060.0,99.8
Malaysia,32365999.0,328550.0,98.5
Dominica,71986.0,750.0,96.0
Syria,17500658.0,183630.0,95.3
Cambodia,16718965.0,176520.0,94.7
Kenya,53771296.0,569140.0,94.5
